Fecha,Valor
04/03/2015,37.55
05/03/2015,37.59
06/03/2015,37.94
09/03/2015,37.70
10/03/2015,37.18
11/03/2015,37.44
12/03/2015,37.74
13/03/2015,37.93
16/03/2015,37.65
17/03/2015,37.40
18/03/2015,37.25
19/03/2015,38.05
20/03/2015,37.49
25/03/2015,37.42
26/03/2015,37.49
27/03/2015,37.53
30/03/2015,37.15
31/03/2015,37.88
01/04/2015,37.65
06/04/2015,37.99
07/04/2015,37.94
08/04/2015,38.18
09/04/2015,37.97
10/04/2015,38.16
13/04/2015,37.56
14/04/2015,37.72
15/04/2015,37.61
16/04/2015,37.97
17/04/2015,38.11
20/04/2015,37.66
21/04/2015,37.57
22/04/2015,37.59
23/04/2015,37.33
24/04/2015,37.85
27/04/2015,37.32
28/04/2015,37.01
29/04/2015,37.06
30/04/2015,36.60
04/05/2015,37.48
05/05/2015,36.99
06/05/2015,37.24
07/05/2015,37.21
08/05/2015,37.56
11/05/2015,37.90
12/05/2015,39.17
13/05/2015,37.55
14/05/2015,36.73
15/05/2015,38.25
18/05/2015,37.67
19/05/2015,37.27
20/05/2015,37.63
21/05/2015,37.60
22/05/2015,37.13
26/05/2015,35.35
27/05/2015,34.70
28/05/2015,36.85
29/05/2015,36.69
01/06/2015,36.80
02/06/2015,36.89
03/06/2015,37.22
04/06/2015,37.21
05/06/2015,37.26
08/06/2015,37.13
09/06/2015,36.95
10/06/2015,36.72
11/06/2015,36.83
12/06/2015,37.71
15/06/2015,37.23
16/06/2015,37.32
17/06/2015,37.09
18/06/2015,37.05
19/06/2015,35.88
22/06/2015,35.95
23/06/2015,36.56
24/06/2015,37.00
25/06/2015,36.52
26/06/2015,37.48
29/06/2015,36.50
30/06/2015,35.82
01/07/2015,36.43
02/07/2015,36.76
03/07/2015,36.92
06/07/2015,36.71
07/07/2015,36.52
08/07/2015,36.42
10/07/2015,37.10
13/07/2015,36.78
14/07/2015,36.86
15/07/2015,36.60
16/07/2015,36.84
17/07/2015,36.83
20/07/2015,36.11
21/07/2015,36.27
22/07/2015,35.91
23/07/2015,36.01
24/07/2015,35.87
27/07/2015,36.21
28/07/2015,36.36
29/07/2015,36.47
30/07/2015,36.17
31/07/2015,35.79
03/08/2015,36.53
04/08/2015,36.31
05/08/2015,35.85
06/08/2015,35.82
07/08/2015,36.37
10/08/2015,36.24
11/08/2015,36.53
12/08/2015,36.20
13/08/2015,37.01
14/08/2015,37.24
18/08/2015,36.93
19/08/2015,36.81
20/08/2015,36.75
21/08/2015,37.00
24/08/2015,36.81
25/08/2015,36.63
26/08/2015,36.50
27/08/2015,36.76
28/08/2015,36.54
31/08/2015,36.09
01/09/2015,36.50
02/09/2015,36.48
03/09/2015,36.38
04/09/2015,36.83
07/09/2015,36.76
08/09/2015,36.79
09/09/2015,36.79
10/09/2015,36.76
11/09/2015,37.01
14/09/2015,36.87
15/09/2015,36.89
16/09/2015,37.02
